log type pct
278 p1 0.794054
278 p2 0.166179
278 p3 0.0397673
278 p4 0
278 p5 0
278 p6 0
278 p7 0
434 p1 0.807592
434 p2 0.0285541
434 p3 0.0505879
434 p4 0.104894
434 p5 0.00837149
434 p6 0
434 p7 0
265 p1 0.742941
265 p2 0.127237
265 p3 0.113109
265 p4 0.0167126
265 p5 0
265 p6 0
265 p7 0
10 p1 0.135665
10 p2 0.834807
10 p3 0.0173739
10 p4 0.00120188
10 p5 0.0109529
10 p6 0
10 p7 0
746 p1 0.10738
746 p2 0.684512
746 p3 0.203097
746 p4 0.00493351
746 p5 7.84489e-05
746 p6 0
746 p7 0
190 p1 0.544549
190 p2 0.244694
190 p3 0.194636
190 p4 0.0161214
190 p5 0
190 p6 0
190 p7 0
45 p1 0.736523
45 p2 0.11346
45 p3 0.106754
45 p4 0.0431953
45 p5 6.7949e-05
45 p6 0
45 p7 0
